02-05 05:30:35 INFO  epoch 0/121, 2000/56954, lr:0.0005, loss:14.826254
02-05 05:30:55 INFO  epoch 0/121, 4000/56954, lr:0.0005, loss:12.203894
02-05 05:31:13 INFO  epoch 0/121, 6000/56954, lr:0.0005, loss:10.960969
02-05 05:31:30 INFO  epoch 0/121, 8000/56954, lr:0.0005, loss:10.182536
02-05 05:31:48 INFO  epoch 0/121, 10000/56954, lr:0.0005, loss:9.614348
02-05 05:32:06 INFO  epoch 0/121, 12000/56954, lr:0.0005, loss:9.165886
02-05 05:32:23 INFO  epoch 0/121, 14000/56954, lr:0.0005, loss:8.803644
02-05 05:32:40 INFO  epoch 0/121, 16000/56954, lr:0.0005, loss:8.494520
02-05 05:32:58 INFO  epoch 0/121, 18000/56954, lr:0.0005, loss:8.230656
02-05 05:33:15 INFO  epoch 0/121, 20000/56954, lr:0.0005, loss:7.994887
02-05 05:33:33 INFO  epoch 0/121, 22000/56954, lr:0.0005, loss:7.782610
02-05 05:33:51 INFO  epoch 0/121, 24000/56954, lr:0.0005, loss:7.591556
02-05 05:34:08 INFO  epoch 0/121, 26000/56954, lr:0.0005, loss:7.416863
02-05 05:34:26 INFO  epoch 0/121, 28000/56954, lr:0.0005, loss:7.260090
02-05 05:34:44 INFO  epoch 0/121, 30000/56954, lr:0.0005, loss:7.114329
02-05 05:35:01 INFO  epoch 0/121, 32000/56954, lr:0.0005, loss:6.980634
02-05 05:35:19 INFO  epoch 0/121, 34000/56954, lr:0.0005, loss:6.854896
02-05 05:35:37 INFO  epoch 0/121, 36000/56954, lr:0.0005, loss:6.737884
02-05 05:35:54 INFO  epoch 0/121, 38000/56954, lr:0.0005, loss:6.628114
02-05 05:36:12 INFO  epoch 0/121, 40000/56954, lr:0.0005, loss:6.525056
02-05 05:36:29 INFO  epoch 0/121, 42000/56954, lr:0.0005, loss:6.427857
02-05 05:36:47 INFO  epoch 0/121, 44000/56954, lr:0.0005, loss:6.335882
02-05 05:37:05 INFO  epoch 0/121, 46000/56954, lr:0.0005, loss:6.248842
02-05 05:37:22 INFO  epoch 0/121, 48000/56954, lr:0.0005, loss:6.165366
02-05 05:37:40 INFO  epoch 0/121, 50000/56954, lr:0.0005, loss:6.085837
02-05 05:37:57 INFO  epoch 0/121, 52000/56954, lr:0.0005, loss:6.010091
