02-05 05:06:11 INFO  epoch 0/121, 2000/56954, lr:0.0005, loss:12.195566
02-05 05:06:28 INFO  epoch 0/121, 4000/56954, lr:0.0005, loss:9.857958
02-05 05:06:46 INFO  epoch 0/121, 6000/56954, lr:0.0005, loss:8.709996
02-05 05:07:04 INFO  epoch 0/121, 8000/56954, lr:0.0005, loss:7.960544
02-05 05:07:21 INFO  epoch 0/121, 10000/56954, lr:0.0005, loss:7.429932
02-05 05:07:39 INFO  epoch 0/121, 12000/56954, lr:0.0005, loss:7.021733
02-05 05:07:57 INFO  epoch 0/121, 14000/56954, lr:0.0005, loss:6.689367
02-05 05:08:14 INFO  epoch 0/121, 16000/56954, lr:0.0005, loss:6.411787
02-05 05:08:32 INFO  epoch 0/121, 18000/56954, lr:0.0005, loss:6.172351
02-05 05:08:50 INFO  epoch 0/121, 20000/56954, lr:0.0005, loss:5.964149
02-05 05:09:08 INFO  epoch 0/121, 22000/56954, lr:0.0005, loss:5.779668
02-05 05:09:25 INFO  epoch 0/121, 24000/56954, lr:0.0005, loss:5.615154
02-05 05:09:43 INFO  epoch 0/121, 26000/56954, lr:0.0005, loss:5.466512
02-05 05:10:01 INFO  epoch 0/121, 28000/56954, lr:0.0005, loss:5.332138
02-05 05:10:19 INFO  epoch 0/121, 30000/56954, lr:0.0005, loss:5.208507
02-05 05:10:37 INFO  epoch 0/121, 32000/56954, lr:0.0005, loss:5.094928
02-05 05:10:54 INFO  epoch 0/121, 34000/56954, lr:0.0005, loss:4.990240
02-05 05:11:12 INFO  epoch 0/121, 36000/56954, lr:0.0005, loss:4.892139
02-05 05:11:30 INFO  epoch 0/121, 38000/56954, lr:0.0005, loss:4.801802
02-05 05:11:47 INFO  epoch 0/121, 40000/56954, lr:0.0005, loss:4.716101
02-05 05:12:05 INFO  epoch 0/121, 42000/56954, lr:0.0005, loss:4.636019
02-05 05:12:23 INFO  epoch 0/121, 44000/56954, lr:0.0005, loss:4.561567
02-05 05:12:41 INFO  epoch 0/121, 46000/56954, lr:0.0005, loss:4.490852
02-05 05:12:58 INFO  epoch 0/121, 48000/56954, lr:0.0005, loss:4.424033
02-05 05:13:16 INFO  epoch 0/121, 50000/56954, lr:0.0005, loss:4.360729
02-05 05:13:34 INFO  epoch 0/121, 52000/56954, lr:0.0005, loss:4.301010
02-05 05:13:51 INFO  epoch 0/121, 54000/56954, lr:0.0005, loss:4.244050
02-05 05:14:09 INFO  epoch 0/121, 56000/56954, lr:0.0005, loss:4.189906
02-05 05:14:17 INFO  epoch 0/121, 56954/56954, lr:0.0005, loss:4.164752
02-05 05:18:55 INFO  epoch 1/121, 2000/56954, lr:0.0004975, loss:2.670508
02-05 05:19:15 INFO  epoch 1/121, 4000/56954, lr:0.0004975, loss:2.644165
