02-06 01:48:30 INFO  epoch 0/121, 2000/56954, lr:0.0005, loss:15.095092
02-06 01:48:35 INFO  epoch 0/121, 4000/56954, lr:0.0005, loss:12.507971
02-06 01:48:41 INFO  epoch 0/121, 6000/56954, lr:0.0005, loss:11.194252
02-06 01:48:46 INFO  epoch 0/121, 8000/56954, lr:0.0005, loss:10.351423
02-06 01:48:52 INFO  epoch 0/121, 10000/56954, lr:0.0005, loss:9.740705
02-06 01:48:58 INFO  epoch 0/121, 12000/56954, lr:0.0005, loss:9.257599
02-06 01:49:04 INFO  epoch 0/121, 14000/56954, lr:0.0005, loss:8.861791
02-06 01:49:09 INFO  epoch 0/121, 16000/56954, lr:0.0005, loss:8.525661
02-06 01:49:15 INFO  epoch 0/121, 18000/56954, lr:0.0005, loss:8.234982
02-06 01:49:21 INFO  epoch 0/121, 20000/56954, lr:0.0005, loss:7.981106
02-06 01:49:28 INFO  epoch 0/121, 22000/56954, lr:0.0005, loss:7.755226
02-06 01:49:36 INFO  epoch 0/121, 24000/56954, lr:0.0005, loss:7.548916
02-06 01:49:43 INFO  epoch 0/121, 26000/56954, lr:0.0005, loss:7.362448
02-06 01:49:51 INFO  epoch 0/121, 28000/56954, lr:0.0005, loss:7.191495
02-06 01:49:58 INFO  epoch 0/121, 30000/56954, lr:0.0005, loss:7.034454
02-06 01:50:05 INFO  epoch 0/121, 32000/56954, lr:0.0005, loss:6.889297
02-06 01:50:12 INFO  epoch 0/121, 34000/56954, lr:0.0005, loss:6.753881
02-06 01:50:18 INFO  epoch 0/121, 36000/56954, lr:0.0005, loss:6.627376
02-06 01:50:25 INFO  epoch 0/121, 38000/56954, lr:0.0005, loss:6.508748
02-06 01:50:31 INFO  epoch 0/121, 40000/56954, lr:0.0005, loss:6.397557
02-06 01:50:37 INFO  epoch 0/121, 42000/56954, lr:0.0005, loss:6.292948
02-06 01:50:43 INFO  epoch 0/121, 44000/56954, lr:0.0005, loss:6.194428
02-06 01:50:51 INFO  epoch 0/121, 46000/56954, lr:0.0005, loss:6.100857
02-06 01:50:58 INFO  epoch 0/121, 48000/56954, lr:0.0005, loss:6.013480
02-06 01:51:05 INFO  epoch 0/121, 50000/56954, lr:0.0005, loss:5.930136
02-06 01:51:12 INFO  epoch 0/121, 52000/56954, lr:0.0005, loss:5.850614
02-06 01:51:20 INFO  epoch 0/121, 54000/56954, lr:0.0005, loss:5.775336
02-06 01:51:28 INFO  epoch 0/121, 56000/56954, lr:0.0005, loss:5.703861
02-06 01:51:32 INFO  epoch 0/121, 56954/56954, lr:0.0005, loss:5.670745
02-06 01:55:57 INFO  epoch 1/121, 2000/56954, lr:0.0004975, loss:3.690302
02-06 01:56:03 INFO  epoch 1/121, 4000/56954, lr:0.0004975, loss:3.672477
02-06 01:56:10 INFO  epoch 1/121, 6000/56954, lr:0.0004975, loss:3.652089
02-06 01:56:17 INFO  epoch 1/121, 8000/56954, lr:0.0004975, loss:3.634020
02-06 01:56:25 INFO  epoch 1/121, 10000/56954, lr:0.0004975, loss:3.612638
02-06 01:56:32 INFO  epoch 1/121, 12000/56954, lr:0.0004975, loss:3.594817
02-06 01:56:39 INFO  epoch 1/121, 14000/56954, lr:0.0004975, loss:3.577025
02-06 01:56:45 INFO  epoch 1/121, 16000/56954, lr:0.0004975, loss:3.560501
02-06 01:56:52 INFO  epoch 1/121, 18000/56954, lr:0.0004975, loss:3.542747
02-06 01:56:58 INFO  epoch 1/121, 20000/56954, lr:0.0004975, loss:3.526899
02-06 01:57:05 INFO  epoch 1/121, 22000/56954, lr:0.0004975, loss:3.510740
02-06 01:57:11 INFO  epoch 1/121, 24000/56954, lr:0.0004975, loss:3.495271
02-06 01:57:18 INFO  epoch 1/121, 26000/56954, lr:0.0004975, loss:3.479797
02-06 01:57:24 INFO  epoch 1/121, 28000/56954, lr:0.0004975, loss:3.464750
02-06 01:57:31 INFO  epoch 1/121, 30000/56954, lr:0.0004975, loss:3.450157
02-06 01:57:37 INFO  epoch 1/121, 32000/56954, lr:0.0004975, loss:3.435573
02-06 01:57:43 INFO  epoch 1/121, 34000/56954, lr:0.0004975, loss:3.421544
02-06 01:57:50 INFO  epoch 1/121, 36000/56954, lr:0.0004975, loss:3.407721
02-06 01:57:56 INFO  epoch 1/121, 38000/56954, lr:0.0004975, loss:3.394307
02-06 01:58:02 INFO  epoch 1/121, 40000/56954, lr:0.0004975, loss:3.381313
02-06 01:58:09 INFO  epoch 1/121, 42000/56954, lr:0.0004975, loss:3.368860
02-06 01:58:15 INFO  epoch 1/121, 44000/56954, lr:0.0004975, loss:3.356208
02-06 01:58:21 INFO  epoch 1/121, 46000/56954, lr:0.0004975, loss:3.344451
02-06 01:58:28 INFO  epoch 1/121, 48000/56954, lr:0.0004975, loss:3.332308
02-06 01:58:34 INFO  epoch 1/121, 50000/56954, lr:0.0004975, loss:3.320587
02-06 01:58:40 INFO  epoch 1/121, 52000/56954, lr:0.0004975, loss:3.309244
02-06 01:58:47 INFO  epoch 1/121, 54000/56954, lr:0.0004975, loss:3.297950
02-06 01:58:53 INFO  epoch 1/121, 56000/56954, lr:0.0004975, loss:3.286741
02-06 01:58:56 INFO  epoch 1/121, 56954/56954, lr:0.0004975, loss:3.281623
02-06 02:00:06 INFO  epoch 2/121, 2000/56954, lr:0.0004950125, loss:2.968644
02-06 02:00:12 INFO  epoch 2/121, 4000/56954, lr:0.0004950125, loss:2.960047
02-06 02:00:18 INFO  epoch 2/121, 6000/56954, lr:0.0004950125, loss:2.951170
02-06 02:00:24 INFO  epoch 2/121, 8000/56954, lr:0.0004950125, loss:2.944768
02-06 02:00:30 INFO  epoch 2/121, 10000/56954, lr:0.0004950125, loss:2.936218
02-06 02:00:37 INFO  epoch 2/121, 12000/56954, lr:0.0004950125, loss:2.929190
02-06 02:00:43 INFO  epoch 2/121, 14000/56954, lr:0.0004950125, loss:2.922951
02-06 02:00:49 INFO  epoch 2/121, 16000/56954, lr:0.0004950125, loss:2.914989
02-06 02:00:55 INFO  epoch 2/121, 18000/56954, lr:0.0004950125, loss:2.908817
02-06 02:01:02 INFO  epoch 2/121, 20000/56954, lr:0.0004950125, loss:2.903126
02-06 02:01:08 INFO  epoch 2/121, 22000/56954, lr:0.0004950125, loss:2.896927
02-06 02:01:14 INFO  epoch 2/121, 24000/56954, lr:0.0004950125, loss:2.890610
02-06 02:01:20 INFO  epoch 2/121, 26000/56954, lr:0.0004950125, loss:2.884559
02-06 02:01:26 INFO  epoch 2/121, 28000/56954, lr:0.0004950125, loss:2.878438
02-06 02:01:33 INFO  epoch 2/121, 30000/56954, lr:0.0004950125, loss:2.872653
02-06 02:01:39 INFO  epoch 2/121, 32000/56954, lr:0.0004950125, loss:2.867120
02-06 02:01:45 INFO  epoch 2/121, 34000/56954, lr:0.0004950125, loss:2.861196
02-06 02:01:51 INFO  epoch 2/121, 36000/56954, lr:0.0004950125, loss:2.855767
02-06 02:01:58 INFO  epoch 2/121, 38000/56954, lr:0.0004950125, loss:2.849935
02-06 02:02:04 INFO  epoch 2/121, 40000/56954, lr:0.0004950125, loss:2.844533
02-06 02:02:10 INFO  epoch 2/121, 42000/56954, lr:0.0004950125, loss:2.839183
02-06 02:02:17 INFO  epoch 2/121, 44000/56954, lr:0.0004950125, loss:2.834142
02-06 02:02:23 INFO  epoch 2/121, 46000/56954, lr:0.0004950125, loss:2.828537
02-06 02:02:29 INFO  epoch 2/121, 48000/56954, lr:0.0004950125, loss:2.823290
02-06 02:02:36 INFO  epoch 2/121, 50000/56954, lr:0.0004950125, loss:2.818248
02-06 02:02:42 INFO  epoch 2/121, 52000/56954, lr:0.0004950125, loss:2.813308
02-06 02:02:48 INFO  epoch 2/121, 54000/56954, lr:0.0004950125, loss:2.808088
02-06 02:02:55 INFO  epoch 2/121, 56000/56954, lr:0.0004950125, loss:2.803289
02-06 02:02:58 INFO  epoch 2/121, 56954/56954, lr:0.0004950125, loss:2.800921
02-06 02:03:58 INFO  epoch 3/121, 2000/56954, lr:0.0004925374375, loss:2.653859
02-06 02:04:04 INFO  epoch 3/121, 4000/56954, lr:0.0004925374375, loss:2.646720
02-06 02:04:11 INFO  epoch 3/121, 6000/56954, lr:0.0004925374375, loss:2.647542
02-06 02:04:17 INFO  epoch 3/121, 8000/56954, lr:0.0004925374375, loss:2.643409
02-06 02:04:23 INFO  epoch 3/121, 10000/56954, lr:0.0004925374375, loss:2.639598
02-06 02:04:29 INFO  epoch 3/121, 12000/56954, lr:0.0004925374375, loss:2.636452
02-06 02:04:36 INFO  epoch 3/121, 14000/56954, lr:0.0004925374375, loss:2.631341
02-06 02:04:42 INFO  epoch 3/121, 16000/56954, lr:0.0004925374375, loss:2.628498
02-06 02:04:48 INFO  epoch 3/121, 18000/56954, lr:0.0004925374375, loss:2.625190
02-06 02:04:55 INFO  epoch 3/121, 20000/56954, lr:0.0004925374375, loss:2.622289
02-06 02:05:01 INFO  epoch 3/121, 22000/56954, lr:0.0004925374375, loss:2.618375
02-06 02:05:08 INFO  epoch 3/121, 24000/56954, lr:0.0004925374375, loss:2.614385
02-06 02:05:14 INFO  epoch 3/121, 26000/56954, lr:0.0004925374375, loss:2.610928
02-06 02:05:21 INFO  epoch 3/121, 28000/56954, lr:0.0004925374375, loss:2.607638
02-06 02:05:27 INFO  epoch 3/121, 30000/56954, lr:0.0004925374375, loss:2.605194
